   No.   File  Line   Col. Cls.  Mthd.  Rep.  Tok.     Text
    43     0    46    30     0     0     0      84  >>
    44     0    46    33     0     0     0     112  1
    45     0    46    34     0     0     0      60  )
    46     0    46    35     0     0     0     102  ;
    47     0    47     9     0     0     0     111  this.bb
    48     0    47    17     0     0     0      67  =
    49     0    47    19     0     0     0     111  bb
    50     0    47    21     0     0     0     102  ;
    51     0    49     9     0     0     0      36  int
    52     0    49    13     0     0     0     111  cap
    53     0    49    17     0     0     0      67  =
    54     0    49    19     0     0     0     111  this.capacity
    55     0    49    32     0     0     0      59  (
    56     0    49    33     0     0     0      60  )
    57     0    49    34     0     0     0     102  ;
    58     0    50     9     0     0     0     111  this.limit
    59     0    50    19     0     0     0      59  (
    60     0    50    20     0     0     0     111  cap
    61     0    50    23     0     0     0      60  )
    62     0    50    24     0     0     0     102  ;
    63     0    51     9     0     0     0      36  int
    64     0    51    13     0     0     0     111  pos
    65     0    51    17     0     0     0      67  =
    66     0    51    19     0     0     0     111  this.position
    67     0    51    32     0     0     0      59  (
    68     0    51    33     0     0     0      60  )
    69     0    51    34     0     0     0     102  ;
    70     0    52     9     0     0     0     111  assert
    71     0    52    16     0     0     0      59  (
    72     0    52    17     0     0     0     111  pos
    73     0    52    21     0     0     0      92  <=
    74     0    52    24     0     0     0     111  cap
    75     0    52    27     0     0     0      60  )
    76     0    52    28     0     0     0     102  ;
    77     0    53     9     0     0     0     111  offset
    78     0    53    16     0     0     0      67  =
    79     0    53    18     0     0     0     111  pos
    80     0    53    21     0     0     0     102  ;
    81     0    57     5     0     0     0      64  }
    82     0    57     5     0     0     0     124  ENDMETHOD
    83     0    57     5     0     1     0     125  STARTMETHOD
    84     0    59     5     0     1     0     111  ByteBufferAsCharBufferB
    85     0    59    28     0     1     0      59  (
    86     0    59    29     0     1     0     111  ByteBuffer
    87     0    59    40     0     1     0     111  bb
    88     0    59    42     0     1     0      66  ,
    89     0    60    38     0     1     0      36  int
    90     0    60    42     0     1     0     111  mark
    91     0    60    46     0     1     0      66  ,
    92     0    60    48     0     1     0      36  int
    93     0    60    52     0     1     0     111  pos
    94     0    60    55     0     1     0      66  ,
    95     0    60    57     0     1     0      36  int
    96     0    60    61     0     1     0     111  lim
    97     0    60    64     0     1     0      66  ,
    98     0    60    66     0     1     0      36  int
    99     0    60    70     0     1     0     111  cap
   100     0    60    73     0     1     0      66  ,
   101     0    61    38     0     1     0      36  int
   102     0    61    42     0     1     0     111  off
   103     0    61    45     0     1     0      60  )
   104     0    62     5     0     1     0      63  {
   105     0    64     9     0     1     0      27  super
   106     0    64    14     0     1     0      59  (
   107     0    64    15     0     1     0     111  mark
   108     0    64    19     0     1     0      66  ,
   109     0    64    21     0     1     0     111  pos
   110     0    64    24     0     1     0      66  ,
   111     0    64    26     0     1     0     111  lim
   112     0    64    29     0     1     0      66  ,
   113     0    64    31     0     1     0     111  cap
   114     0    64    34     0     1     0      60  )
   115     0    64    35     0     1     0     102  ;
   116     0    65     9     0     1     1     111  this.bb
   117     0    65    17     0     1     1      67  =
   118     0    65    19     0     1     1     111  bb
   119     0    65    21     0     1     1     102  ;
   120     0    66     9     0     1     1     111  offset
   121     0    66    16     0     1     1      67  =
   122     0    66    18     0     1     1     111  off
   123     0    66    21     0     1     1     102  ;
   124     0    70     5     0     1     0      64  }
   125     0    70     5     0     1     0     126  ENDMETHOD
   126     0    70     5     0     2     0     127  STARTMETHOD
   127     0    72     5     0     2     0      10  public
   128     0    72    12     0     2     0     111  CharBuffer
   129     0    72    23     0     2     0     111  slice
   130     0    72    28     0     2     0      59  (
   131     0    72    29     0     2     0      60  )
   132     0    72    31     0     2     0      63  {
   133     0    73     9     0     2     1      36  int
   134     0    73    13     0     2     1     111  pos
   135     0    73    17     0     2     1      67  =
   136     0    73    19     0     2     1     111  this.position
   137     0    73    32     0     2     1      59  (
   138     0    73    33     0     2     1      60  )
   139     0    73    34     0     2     1     102  ;
   140     0    74     9     0     2     1      36  int
   141     0    74    13     0     2     1     111  lim
   142     0    74    17     0     2     1      67  =
   143     0    74    19     0     2     1     111  this.limit
   144     0    74    29     0     2     1      59  (
   145     0    74    30     0     2     1      60  )
   146     0    74    31     0     2     1     102  ;
   147     0    75     9     0     2     0     111  assert
   148     0    75    16     0     2     0      59  (
   149     0    75    17     0     2     0     111  pos
   150     0    75    21     0     2     0      92  <=
   151     0    75    24     0     2     0     111  lim
   152     0    75    27     0     2     0      60  )
   153     0    75    28     0     2     0     102  ;
   154     0    76     9     0     2     0      36  int
   155     0    76    13     0     2     0     111  rem
   156     0    76    17     0     2     0      67  =
   157     0    76    19     0     2     0      59  (
   158     0    76    20     0     2     0     111  pos
   159     0    76    24     0     2     0      92  <=
   160     0    76    27     0     2     0     111  lim
   161     0    76    31     0     2     0      58  ?
   162     0    76    33     0     2     0     111  lim
   163     0    76    37     0     2     0      77  -
   164     0    76    39     0     2     0     111  pos
   165     0    76    43     0     2     0      65  :
   166     0    76    45     0     2     0     112  0
   167     0    76    46     0     2     0      60  )
   168     0    76    47     0     2     0     102  ;
   169     0    77     9     0     2     0      36  int
   170     0    77    13     0     2     0     111  off
   171     0    77    17     0     2     0      67  =
   172     0    77    19     0     2     0      59  (
   173     0    77    20     0     2     0     111  pos
   174     0    77    24     0     2     0      90  <<
   175     0    77    27     0     2     0     112  1
   176     0    77    28     0     2     0      60  )
   177     0    77    30     0     2     0      74  +
   178     0    77    32     0     2     0     111  offset
   179     0    77    38     0     2     0     102  ;
   180     0    78     9     0     2     0     111  assert
   181     0    78    16     0     2     0      59  (
   182     0    78    17     0     2     0     111  off
   183     0    78    21     0     2     0      88  >=
   184     0    78    24     0     2     0     112  0
   185     0    78    25     0     2     0      60  )
   186     0    78    26     0     2     0     102  ;
   187     0    79     9     0     2     0      19  return
   188     0    79    16     0     2     0      15  new
   189     0    79    20     0     2     0     111  ByteBufferAsCharBufferB
   190     0    79    43     0     2     0      59  (
   191     0    79    44     0     2     0     111  bb
   192     0    79    46     0     2     0      66  ,
   193     0    79    48     0     2     0      77  -
   194     0    79    49     0     2     0     112  1
   195     0    79    50     0     2     0      66  ,
   196     0    79    52     0     2     0     112  0
   197     0    79    53     0     2     0      66  ,
   198     0    79    55     0     2     0     111  rem
   199     0    79    58     0     2     0      66  ,
   200     0    79    60     0     2     0     111  rem
   201     0    79    63     0     2     1      66  ,
   202     0    79    65     0     2     1     111  off
   203     0    79    68     0     2     1      60  )
   204     0    79    69     0     2     1     102  ;
   205     0    80     5     0     2     1      64  }
   206     0    80     5     0     2     0     128  ENDMETHOD
   207     0    80     5     0     3     0     129  STARTMETHOD
   208     0    82     5     0     3     0      10  public
   209     0    82    12     0     3     0     111  CharBuffer
   210     0    82    23     0     3     0     111  duplicate
   211     0    82    32     0     3     0      59  (
   212     0    82    33     0     3     0      60  )
   213     0    82    35     0     3     0      63  {
   214     0    83     9     0     3     0      19  return
   215     0    83    16     0     3     0      15  new
   216     0    83    20     0     3     0     111  ByteBufferAsCharBufferB
   217     0    83    43     0     3     0      59  (
   218     0    83    44     0     3     0     111  bb
   219     0    83    46     0     3     0      66  ,
   220     0    84    53     0     3     1     111  this.markValue
   221     0    84    67     0     3     1      59  (
   222     0    84    68     0     3     1      60  )
   223     0    84    69     0     3     1      66  ,
   224     0    85    53     0     3     1     111  this.position
   225     0    85    66     0     3     1      59  (
   226     0    85    67     0     3     1      60  )
   227     0    85    68     0     3     1      66  ,
   228     0    86    53     0     3     1     111  this.limit
   229     0    86    63     0     3     1      59  (
   230     0    86    64     0     3     1      60  )
   231     0    86    65     0     3     1      66  ,
   232     0    87    53     0     3     1     111  this.capacity
   233     0    87    66     0     3     1      59  (
   234     0    87    67     0     3     1      60  )
   235     0    87    68     0     3     1      66  ,
   236     0    88    53     0     3     1     111  offset
   237     0    88    59     0     3     1      60  )
   238     0    88    60     0     3     1     102  ;
   239     0    89     5     0     3     1      64  }
   240     0    89     5     0     3     0     130  ENDMETHOD
   241     0    89     5     0     4     0     131  STARTMETHOD
   242     0    91     5     0     4     0      10  public
   243     0    91    12     0     4     0     111  CharBuffer
   244     0    91    23     0     4     0     111  asReadOnlyBuffer
   245     0    91    39     0     4     0      59  (
   246     0    91    40     0     4     0      60  )
   247     0    91    42     0     4     0      63  {
   248     0    93     9     0     4     0      19  return
   249     0    93    16     0     4     0      15  new
   250     0    93    20     0     4     0     111  ByteBufferAsCharBufferRB
   251     0    93    44     0     4     0      59  (
   252     0    93    45     0     4     0     111  bb
   253     0    93    47     0     4     0      66  ,
   254     0    94    50     0     4     1     111  this.markValue
   255     0    94    64     0     4     1      59  (
   256     0    94    65     0     4     1      60  )
   257     0    94    66     0     4     1      66  ,
   258     0    95    50     0     4     1     111  this.position
   259     0    95    63     0     4     1      59  (
   260     0    95    64     0     4     1      60  )
   261     0    95    65     0     4     1      66  ,
   262     0    96    50     0     4     1     111  this.limit
   263     0    96    60     0     4     1      59  (
   264     0    96    61     0     4     1      60  )
   265     0    96    62     0     4     1      66  ,
   266     0    97    50     0     4     1     111  this.capacity
   267     0    97    63     0     4     1      59  (
   268     0    97    64     0     4     1      60  )
   269     0    97    65     0     4     1      66  ,
   270     0    98    50     0     4     1     111  offset
   271     0    98    56     0     4     1      60  )
   272     0    98    57     0     4     1     102  ;
   273     0   102     5     0     4     1      64  }
   274     0   102     5     0     4     0     132  ENDMETHOD
   275     0   102     5     0     5     0     133  STARTMETHOD
   276     0   106     5     0     5     0      23  protected
   277     0   106    15     0     5     0      36  int
   278     0   106    19     0     5     0     111  ix
   279     0   106    21     0     5     0      59  (
   280     0   106    22     0     5     0      36  int
   281     0   106    26     0     5     0     111  i
   282     0   106    27     0     5     0      60  )
   283     0   106    29     0     5     0      63  {
   284     0   107     9     0     5     0      19  return
   285     0   107    16     0     5     0      59  (
   286     0   107    17     0     5     0     111  i
   287     0   107    19     0     5     0      90  <<
   288     0   107    22     0     5     0     112  1
   289     0   107    23     0     5     0      60  )
   290     0   107    25     0     5     0      74  +
   291     0   107    27     0     5     0     111  offset
   292     0   107    33     0     5     0     102  ;
   293     0   108     5     0     5     0      64  }
   294     0   108     5     0     5     0     134  ENDMETHOD
   295     0   108     5     0     6     0     135  STARTMETHOD
   296     0   110     5     0     6     0      10  public
   297     0   110    12     0     6     0      40  char
   298     0   110    17     0     6     0     111  get
   299     0   110    20     0     6     0      59  (
   300     0   110    21     0     6     0      60  )
   301     0   110    23     0     6     0      63  {
   302     0   111     9     0     6     0      19  return
   303     0   111    16     0     6     0     111  Bits.getCharB
   304     0   111    29     0     6     0      59  (
   305     0   111    30     0     6     0     111  bb
   306     0   111    32     0     6     0      66  ,
   307     0   111    34     0     6     0     111  ix
   308     0   111    36     0     6     0      59  (
   309     0   111    37     0     6     0     111  nextGetIndex
   310     0   111    49     0     6     0      59  (
   311     0   111    50     0     6     0      60  )
   312     0   111    51     0     6     0      60  )
   313     0   111    52     0     6     0      60  )
   314     0   111    53     0     6     0     102  ;
   315     0   112     5     0     6     0      64  }
   316     0   112     5     0     6     0     136  ENDMETHOD
   317     0   112     5     0     7     0     137  STARTMETHOD
   318     0   114     5     0     7     0      10  public
   319     0   114    12     0     7     0      40  char
   320     0   114    17     0     7     0     111  get
   321     0   114    20     0     7     0      59  (
   322     0   114    21     0     7     0      36  int
   323     0   114    25     0     7     0     111  i
   324     0   114    26     0     7     0      60  )
   325     0   114    28     0     7     0      63  {
   326     0   115     9     0     7     0      19  return
   327     0   115    16     0     7     0     111  Bits.getCharB
   328     0   115    29     0     7     0      59  (
   329     0   115    30     0     7     0     111  bb
   330     0   115    32     0     7     0      66  ,
   331     0   115    34     0     7     0     111  ix
   332     0   115    36     0     7     0      59  (
   333     0   115    37     0     7     0     111  checkIndex
   334     0   115    47     0     7     0      59  (
   335     0   115    48     0     7     0     111  i
   336     0   115    49     0     7     0      60  )
   337     0   115    50     0     7     0      60  )
   338     0   115    51     0     7     0      60  )
   339     0   115    52     0     7     0     102  ;
   340     0   116     5     0     7     0      64  }
   341     0   116     5     0     7     0     138  ENDMETHOD
   342     0   116     5     0     8     0     139  STARTMETHOD
   343     0   120     5     0     8     0      10  public
   344     0   120    12     0     8     0     111  CharBuffer
   345     0   120    23     0     8     0     111  put
   346     0   120    26     0     8     0      59  (
   347     0   120    27     0     8     0      40  char
   348     0   120    32     0     8     0     111  x
   349     0   120    33     0     8     0      60  )
   350     0   120    35     0     8     0      63  {
   351     0   122     9     0     8     0     111  Bits.putCharB
   352     0   122    22     0     8     0      59  (
   353     0   122    23     0     8     0     111  bb
   354     0   122    25     0     8     0      66  ,
   355     0   122    27     0     8     0     111  ix
   356     0   122    29     0     8     0      59  (
   357     0   122    30     0     8     0     111  nextPutIndex
   358     0   122    42     0     8     0      59  (
   359     0   122    43     0     8     0      60  )
   360     0   122    44     0     8     0      60  )
   361     0   122    45     0     8     0      66  ,
   362     0   122    47     0     8     0     111  x
   363     0   122    48     0     8     0      60  )
   364     0   122    49     0     8     0     102  ;
   365     0   123     9     0     8     0      19  return
   366     0   123    16     0     8     0      44  this
   367     0   123    20     0     8     0     102  ;
   368     0   127     5     0     8     0      64  }
   369     0   127     5     0     8     0     140  ENDMETHOD
   370     0   127     5     0     9     0     141  STARTMETHOD
   371     0   129     5     0     9     0      10  public
   372     0   129    12     0     9     0     111  CharBuffer
   373     0   129    23     0     9     0     111  put
   374     0   129    26     0     9     0      59  (
   375     0   129    27     0     9     0      36  int
   376     0   129    31     0     9     0     111  i
   377     0   129    32     0     9     0      66  ,
   378     0   129    34     0     9     0      40  char
   379     0   129    39     0     9     0     111  x
   380     0   129    40     0     9     0      60  )
   381     0   129    42     0     9     0      63  {
   382     0   131     9     0     9     0     111  Bits.putCharB
   383     0   131    22     0     9     0      59  (
   384     0   131    23     0     9     0     111  bb
   385     0   131    25     0     9     0      66  ,
   386     0   131    27     0     9     0     111  ix
   387     0   131    29     0     9     0      59  (
   388     0   131    30     0     9     0     111  checkIndex
   389     0   131    40     0     9     0      59  (
   390     0   131    41     0     9     0     111  i
   391     0   131    42     0     9     0      60  )
   392     0   131    43     0     9     0      60  )
   393     0   131    44     0     9     0      66  ,
   394     0   131    46     0     9     0     111  x
   395     0   131    47     0     9     0      60  )
   396     0   131    48     0     9     0     102  ;
   397     0   132     9     0     9     0      19  return
   398     0   132    16     0     9     0      44  this
   399     0   132    20     0     9     0     102  ;
   400     0   136     5     0     9     0      64  }
   401     0   136     5     0     9     0     142  ENDMETHOD
   402     0   136     5     0    10     0     143  STARTMETHOD
   403     0   138     5     0    10     0      10  public
   404     0   138    12     0    10     0     111  CharBuffer
   405     0   138    23     0    10     0     111  compact
   406     0   138    30     0    10     0      59  (
   407     0   138    31     0    10     0      60  )
   408     0   138    33     0    10     0      63  {
   409     0   140     9     0    10     1      36  int
   410     0   140    13     0    10     1     111  pos
   411     0   140    17     0    10     1      67  =
   412     0   140    19     0    10     1     111  position
   413     0   140    27     0    10     1      59  (
   414     0   140    28     0    10     1      60  )
   415     0   140    29     0    10     1     102  ;
   416     0   141     9     0    10     1      36  int
   417     0   141    13     0    10     1     111  lim
   418     0   141    17     0    10     1      67  =
   419     0   141    19     0    10     1     111  limit
   420     0   141    24     0    10     1      59  (
   421     0   141    25     0    10     1      60  )
   422     0   141    26     0    10     1     102  ;
   423     0   142     9     0    10     0     111  assert
   424     0   142    16     0    10     0      59  (
   425     0   142    17     0    10     0     111  pos
   426     0   142    21     0    10     0      92  <=
   427     0   142    24     0    10     0     111  lim
   428     0   142    27     0    10     0      60  )
   429     0   142    28     0    10     0     102  ;
   430     0   143     9     0    10     0      36  int
   431     0   143    13     0    10     0     111  rem
   432     0   143    17     0    10     0      67  =
   433     0   143    19     0    10     0      59  (
   434     0   143    20     0    10     0     111  pos
   435     0   143    24     0    10     0      92  <=
   436     0   143    27     0    10     0     111  lim
   437     0   143    31     0    10     0      58  ?
   438     0   143    33     0    10     0     111  lim
   439     0   143    37     0    10     0      77  -
   440     0   143    39     0    10     0     111  pos
   441     0   143    43     0    10     0      65  :
   442     0   143    45     0    10     0     112  0
   443     0   143    46     0    10     0      60  )
   444     0   143    47     0    10     0     102  ;
   445     0   145     9     0    10     0     111  ByteBuffer
   446     0   145    20     0    10     0     111  db
   447     0   145    23     0    10     0      67  =
   448     0   145    25     0    10     0     111  bb.duplicate
   449     0   145    37     0    10     0      59  (
   450     0   145    38     0    10     0      60  )
   451     0   145    39     0    10     0     102  ;
   452     0   146     9     0    10     0     111  db.limit
   453     0   146    17     0    10     0      59  (
   454     0   146    18     0    10     0     111  ix
   455     0   146    20     0    10     0      59  (
   456     0   146    21     0    10     0     111  lim
   457     0   146    24     0    10     0      60  )
   458     0   146    25     0    10     0      60  )
   459     0   146    26     0    10     0     102  ;
   460     0   147     9     0    10     0     111  db.position
   461     0   147    20     0    10     0      59  (
   462     0   147    21     0    10     0     111  ix
   463     0   147    23     0    10     0      59  (
   464     0   147    24     0    10     0     112  0
   465     0   147    25     0    10     0      60  )
   466     0   147    26     0    10     0      60  )
   467     0   147    27     0    10     0     102  ;
   468     0   148     9     0    10     0     111  ByteBuffer
   469     0   148    20     0    10     0     111  sb
   470     0   148    23     0    10     0      67  =
   471     0   148    25     0    10     0     111  db.slice
   472     0   148    33     0    10     0      59  (
   473     0   148    34     0    10     0      60  )
   474     0   148    35     0    10     0     102  ;
   475     0   149     9     0    10     0     111  sb.position
   476     0   149    20     0    10     0      59  (
   477     0   149    21     0    10     0     111  pos
   478     0   149    25     0    10     0      90  <<
   479     0   149    28     0    10     0     112  1
   480     0   149    29     0    10     0      60  )
   481     0   149    30     0    10     0     102  ;
   482     0   150     9     0    10     0     111  sb.compact
   483     0   150    19     0    10     0      59  (
   484     0   150    20     0    10     0      60  )
   485     0   150    21     0    10     0     102  ;
   486     0   151     9     0    10     0     111  position
   487     0   151    17     0    10     0      59  (
   488     0   151    18     0    10     0     111  rem
   489     0   151    21     0    10     0      60  )
   490     0   151    22     0    10     0     102  ;
   491     0   152     9     0    10     0     111  limit
   492     0   152    14     0    10     0      59  (
   493     0   152    15     0    10     0     111  capacity
   494     0   152    23     0    10     0      59  (
   495     0   152    24     0    10     0      60  )
   496     0   152    25     0    10     0      60  )
   497     0   152    26     0    10     0     102  ;
   498     0   153     9     0    10     0      19  return
   499     0   153    16     0    10     0      44  this
   500     0   153    20     0    10     0     102  ;
   501     0   157     5     0    10     0      64  }
   502     0   157     5     0    10     0     144  ENDMETHOD
   503     0   157     5     0    11     0     145  STARTMETHOD
   504     0   159     5     0    11     0      10  public
   505     0   159    12     0    11     0      39  boolean
   506     0   159    20     0    11     0     111  isDirect
   507     0   159    28     0    11     0      59  (
   508     0   159    29     0    11     0      60  )
   509     0   159    31     0    11     0      63  {
   510     0   160     9     0    11     0      19  return
   511     0   160    16     0    11     0     111  bb.isDirect
   512     0   160    27     0    11     0      59  (
   513     0   160    28     0    11     0      60  )
   514     0   160    29     0    11     0     102  ;
   515     0   161     5     0    11     0      64  }
   516     0   161     5     0    11     0     146  ENDMETHOD
   517     0   161     5     0    12     0     147  STARTMETHOD
   518     0   163     5     0    12     0      10  public
   519     0   163    12     0    12     0      39  boolean
   520     0   163    20     0    12     0     111  isReadOnly
   521     0   163    30     0    12     0      59  (
   522     0   163    31     0    12     0      60  )
   523     0   163    33     0    12     0      63  {
   524     0   164     9     0    12     0      19  return
   525     0   164    16     0    12     0      43  false
   526     0   164    21     0    12     0     102  ;
   527     0   165     5     0    12     0      64  }
   528     0   165     5     0    12     0     148  ENDMETHOD
   529     0   165     5     0    13     0     149  STARTMETHOD
   530     0   169     5     0    13     0      10  public
   531     0   169    12     0    13     0     111  String
   532     0   169    19     0    13     0     111  toString
   533     0   169    27     0    13     0      59  (
   534     0   169    28     0    13     0      36  int
   535     0   169    32     0    13     0     111  start
   536     0   169    37     0    13     0      66  ,
   537     0   169    39     0    13     0      36  int
   538     0   169    43     0    13     0     111  end
   539     0   169    46     0    13     0      60  )
   540     0   169    48     0    13     0      63  {
   541     0   170     9     0    13     0      31  if
   542     0   170    12     0    13     0      59  (
   543     0   170    13     0    13     0      59  (
   544     0   170    14     0    13     0     111  end
   545     0   170    18     0    13     0      89  >
   546     0   170    20     0    13     0     111  limit
   547     0   170    25     0    13     0      59  (
   548     0   170    26     0    13     0      60  )
   549     0   170    27     0    13     0      60  )
   550     0   170    29     0    13     0      98  ||
   551     0   170    32     0    13     0      59  (
   552     0   170    33     0    13     0     111  start
   553     0   170    39     0    13     0      89  >
   554     0   170    41     0    13     0     111  end
   555     0   170    44     0    13     0      60  )
   556     0   170    45     0    13     0      60  )
   557     0   171    13     0    13     0      20  throw
   558     0   171    19     0    13     0      15  new
   559     0   171    23     0    13     0     111  IndexOutOfBoundsException
   560     0   171    48     0    13     0      59  (
   561     0   171    49     0    13     0      60  )
   562     0   171    50     0    13     0     102  ;
   563     0   172     9     0    13     0      35  try
   564     0   172    13     0    13     0      63  {
   565     0   173    13     0    13     0      36  int
   566     0   173    17     0    13     0     111  len
   567     0   173    21     0    13     0      67  =
   568     0   173    23     0    13     0     111  end
   569     0   173    27     0    13     0      77  -
   570     0   173    29     0    13     0     111  start
   571     0   173    34     0    13     0     102  ;
   572     0   174    13     0    13     0      40  char
   573     0   174    17     0    13     0      61  [
   574     0   174    18     0    13     0      62  ]
   575     0   174    20     0    13     0     111  ca
   576     0   174    23     0    13     0      67  =
   577     0   174    25     0    13     0      15  new
   578     0   174    29     0    13     0      40  char
   579     0   174    33     0    13     0      61  [
   580     0   174    34     0    13     0     111  len
   581     0   174    37     0    13     0      62  ]
   582     0   174    38     0    13     0     102  ;
   583     0   175    13     0    13     0     111  CharBuffer
   584     0   175    24     0    13     0     111  cb
   585     0   175    27     0    13     0      67  =
   586     0   175    29     0    13     0     111  CharBuffer.wrap
   587     0   175    44     0    13     0      59  (
   588     0   175    45     0    13     0     111  ca
   589     0   175    47     0    13     0      60  )
   590     0   175    48     0    13     0     102  ;
   591     0   176    13     0    13     0     111  CharBuffer
   592     0   176    24     0    13     0     111  db
   593     0   176    27     0    13     0      67  =
   594     0   176    29     0    13     0     111  this.duplicate
   595     0   176    43     0    13     0      59  (
   596     0   176    44     0    13     0      60  )
   597     0   176    45     0    13     0     102  ;
   598     0   177    13     0    13     1     111  db.position
   599     0   177    24     0    13     1      59  (
   600     0   177    25     0    13     1     111  start
   601     0   177    30     0    13     1      60  )
   602     0   177    31     0    13     1     102  ;
   603     0   178    13     0    13     1     111  db.limit
   604     0   178    21     0    13     1      59  (
   605     0   178    22     0    13     1     111  end
   606     0   178    25     0    13     1      60  )
   607     0   178    26     0    13     1     102  ;
   608     0   179    13     0    13     1     111  cb.put
   609     0   179    19     0    13     1      59  (
   610     0   179    20     0    13     1     111  db
   611     0   179    22     0    13     1      60  )
   612     0   179    23     0    13     1     102  ;
   613     0   180    13     0    13     0      19  return
   614     0   180    20     0    13     0      15  new
   615     0   180    24     0    13     0     111  String
   616     0   180    30     0    13     0      59  (
   617     0   180    31     0    13     0     111  ca
   618     0   180    33     0    13     0      60  )
   619     0   180    34     0    13     0     102  ;
   620     0   181     9     0    13     0      64  }
   621     0   181    11     0    13     0      34  catch
   622     0   181    17     0    13     0      59  (
   623     0   181    18     0    13     0     111  StringIndexOutOfBoundsException
   624     0   181    50     0    13     0     111  x
   625     0   181    51     0    13     0      60  )
   626     0   181    53     0    13     0      63  {
   627     0   182    13     0    13     0      20  throw
   628     0   182    19     0    13     0      15  new
   629     0   182    23     0    13     0     111  IndexOutOfBoundsException
   630     0   182    48     0    13     0      59  (
   631     0   182    49     0    13     0      60  )
   632     0   182    50     0    13     0     102  ;
   633     0   183     9     0    13     0      64  }
   634     0   184     5     0    13     0      64  }
   635     0   184     5     0    13     0     150  ENDMETHOD
   636     0   184     5     0    14     0     151  STARTMETHOD
   637     0   189     5     0    14     0      10  public
   638     0   189    12     0    14     0     111  CharSequence
   639     0   189    25     0    14     0     111  subSequence
   640     0   189    36     0    14     0      59  (
   641     0   189    37     0    14     0      36  int
   642     0   189    41     0    14     0     111  start
   643     0   189    46     0    14     0      66  ,
   644     0   189    48     0    14     0      36  int
   645     0   189    52     0    14     0     111  end
   646     0   189    55     0    14     0      60  )
   647     0   189    57     0    14     0      63  {
   648     0   190     9     0    14     1      36  int
   649     0   190    13     0    14     1     111  pos
   650     0   190    17     0    14     1      67  =
   651     0   190    19     0    14     1     111  position
   652     0   190    27     0    14     1      59  (
   653     0   190    28     0    14     1      60  )
   654     0   190    29     0    14     1     102  ;
   655     0   191     9     0    14     1      36  int
   656     0   191    13     0    14     1     111  lim
   657     0   191    17     0    14     1      67  =
   658     0   191    19     0    14     1     111  limit
   659     0   191    24     0    14     1      59  (
   660     0   191    25     0    14     1      60  )
   661     0   191    26     0    14     1     102  ;
   662     0   192     9     0    14     0     111  assert
   663     0   192    16     0    14     0      59  (
   664     0   192    17     0    14     0     111  pos
   665     0   192    21     0    14     0      92  <=
   666     0   192    24     0    14     0     111  lim
   667     0   192    27     0    14     0      60  )
   668     0   192    28     0    14     0     102  ;
   669     0   193     9     0    14     0     111  pos
   670     0   193    13     0    14     0      67  =
   671     0   193    15     0    14     0      59  (
   672     0   193    16     0    14     0     111  pos
   673     0   193    20     0    14     0      92  <=
   674     0   193    23     0    14     0     111  lim
   675     0   193    27     0    14     0      58  ?
   676     0   193    29     0    14     0     111  pos
   677     0   193    33     0    14     0      65  :
   678     0   193    35     0    14     0     111  lim
   679     0   193    38     0    14     0      60  )
   680     0   193    39     0    14     0     102  ;
   681     0   194     9     0    14     0      36  int
   682     0   194    13     0    14     0     111  len
   683     0   194    17     0    14     0      67  =
   684     0   194    19     0    14     0     111  lim
   685     0   194    23     0    14     0      77  -
   686     0   194    25     0    14     0     111  pos
